years_in_field,years_in_role,job_title_open,job_category_select,org-type_select,team-size,org-size_bucket,org-uxr-maturity_bucket,desc-of-work_open,reops-member_bucket,org-skill-ladder_bucket,org-reops-supt_bucket,work-towards-goal_bucket,goal-desc_open,goal-desc_tags,craft-important_1,craft-important_2,craft-important_3,craft-desired_1,craft-desired_2,craft-desired_3,craft-write-in_open,h1_biz-strategy_rating,h2_delivery-disciplines_rating,h3_org-diplomacy_rating,h4_service-conceptual_rating,h5_stakeholder-mgmt-comms_rating,h6_project-mgmt_rating,h7_research-process-mgmt_rating,h8_reops-prowess_rating,h9_technical-research-skills_rating,h10_persuation-articulation_rating,h11_interpersonal-relationships_rating,h12_prof-relationships_rating,h13_mindful-work-reflection_rating,biggest-challenge_open,biggest-challenge_tags,explore-excited_open,explore-excited_tags,one-next-step_open,one-next-step_tags,optional-other_open
0,0,UX designer,designer,In-house private sector,0,"501–1,000",I'm not sure,Creating user interfaces as solutions to products. Also doing sime work regarding user experince.,No,Yes,No,No,,,309,109,312,502,102,201,,4,2,2,4,4,2,3,1,3,3,3,4,3,Budget and time.,"budget,time",Have an opportunity to do proper research in a project.,methods practice/skills,Vocalize the need of user research,"Evangelize value,communication/storytelling",
3,3,Ux designer,designer,In-house private sector,8,"501–1,000",Early,"User research, wireframing, user experience, user interface and prototype.",No,No,Self-employed,Yes,Interviews with users and stakeholders.,generative/expl research,502,103,605,401,607,604,,4,3,4,4,3,4,3,2,3,3,4,4,2,"Time, money and project manager mode.","time,budget",User tests,"tests/experiments,usability",Study more about user research frameworks and try to implement them.,"learning/mentors,misc,ResearchOps",
7,1,UX designer,designer,In-house private sector,0,"501–1,000",Laggard,Product owner,No,Yes,No,I'm not sure,,,501,312,602,408,606,307,,4,1,4,4,5,4,2,1,3,3,3,2,1,Have the time and budget to implement activities.,"time,budget",Plan activities to mach development cycles,integration into product dev cycle,Plan activities,project management/ownership,
2,7,UX UI Designer,designer,In-house private sector,0,101–500,Laggard,"Improvement of the internal products user experience, by researching who are our users, needs, our solutions and opportunities.",No,Yes,No,Yes,"T ounderstand what ink are between the different product users, culture and needs versus our segmented products.",strategy,301,304,208,101,204,407,,4,3,4,3,2,4,4,3,4,4,3,2,3,"User from Asia, Africa, South America and Arabic countries. and I'm in Europe. How do I contact with so many cultures?",participant recruitment,AB testing and usability testing,"tests/experiments,usability",Implementing UX Writing instead of traditional content,misc,
4,1,Service Designer,designer,Public sector,1,"1,001+",Progressing,I'm a service designer so I try to have an holistic view through all the design process I work mostly in create awareness inside the organization and most of my process is dedicated to research.,On Waitlist,No,No,Yes,Trying to create a design team in my organization,misc,604,301,610,206,204,506,,5,4,5,5,5,3,3,4,4,5,3,3,5,Create awareness throughout the organization and recrute participants and testers. Involve stakeholders in the process,"evangelize research / value,participant recruitment",I want to learn more techniques hands on and understand how often research works,"learning/mentors ,methods practice/skills",Learn about project management,"learning/mentors,project management/ownership",
2,0.5,UX designer,designer,In-house private sector,0,21–50,Early,Some user research but mostly UX design and a little bit of UI design.,No,No,No,I'm not sure,,,604,610,404,609,609,201,,3,1,4,4,4,3,3,2,3,4,4,4,4,"Lack of support, time and interest from management","trust/buy-in,time",Implement research practice and design process,rigour/standards,Advocate for research,Evangelize value,
3,1,UX lead,designer,In-house private sector,0,11–20,Early,I'm a part of a very big company but with with a new product so my work is a startup environment with all the discover side and shape of business model,No,No,No,Yes,Right now we are trying to understand better the user satndpoint in their last experiences to define the services it make sense to have,generative/expl research,402,603,408,604,508,104,,3,2,5,3,5,4,4,4,4,2,4,4,4,Is easy to create empathy for the findings but is hard to get some action points into the product roadmap and prioritize them.,"(product) impact/actionable insight,integration into product dev cycle",I want to explore more the monitoring and analyze of the user behaviour int our product,analysis,"Instead of sugesting only action points, I will prefer to run collaborative kick off workshops to implement the action points in the roadmap.","(product) impact/actionable insight,workshops/design sprints",
1,4,UX UI designer,designer,In-house private sector,4,101–500,Progressing,N/A,No,No,Yes,I'm not sure,,,302,403,402,110,202,609,,4,3,4,3,3,4,3,2,3,4,4,4,4,N/A,,N/A,,N/A,,
0.3,0.3,UX Researcher,researcher,Agency,2,101–500,Early,"Helping a large client to become human centred and promote discovery research. Delivery surveys, Usability Tests (every week), guerilla testing, ethnographic studies, data visualisations",No,Yes,No,No,,,301,302,201,301,602,601,,4,3,4,5,3,3,4,3,4,4,3,2,3,"Dealing with featuritis, where I am evaluating solutions for under-developed problems",rigour/standards,Just learning and using different methodologies eg I haven't yet done card sorting,"learning/mentors ,methods practice/skills","My company offers research courses on Lynda, so I will do those then wait for an opportunity to use new methods (when appropriate)","(UX) course,method practice/skills",I am just interested in research on impactful topics
3,1,Senior UX Researcher,researcher,In-house private sector,3,"1,001+",Early,Broad exploratory pieces of research looking at the holistic experience of user segments,Yes,No,No,Yes,Triangulating quant and qual data; communicating and embedding research outcomes across the business,"communication/storytelling,quant skils,(product) impact/actionable insight",507,504,610,610,409,604,ethics; gaining endorsement; tools analysis; people leadership; coaching and mentoring,3,3,3,4,4,4,4,4,5,4,4,4,3,Getting buy in for exploratory or future focused research that's not necessarily part of a product roadmap or deliverable,trust/buy-in,Strategy; communicatinng with influence; getting onto the roadmap; quant data and marrying that with qual data,"strategy,communication/storytelling,evangelize research,mixed methods,integration into product dev cycle",develop deeper relationships with senior product leaders,"stakeholder & expectation mngt,exchange/networking",the career framework assumes a high level of organisational maturity and an environment in which career progression is supported
3,0.5,UX Researcher,researcher,In-house private sector,1,"1,001+",Early,"designing, managing, implementing, analysing and presenting user research for the purpose of digital product development (agile sprints). Using a range of research methods to create 'actionable insights' to present to the sprint team",On Waitlist,Yes,No,Yes,Scaling qual research across other departments (not just ux) and increasing quality and efficiency of ux research practices; upskilling other team members in qual research skills,"rigour/standards,scaling/expanding the scope,training/supporting",102,407,601,506,604,505,,3,4,4,4,2,4,3,2,5,4,4,2,2,balancing the demand for insight on customer/user experience across multiple projects with my capacity and desire to produce quality,"parallel processes & responsibilities,time",creating a strategy that will create more oversight for research and better planning and prioritisation,"rigour/standards,project management/ownership",I want to get a mentor with experience in sytrategy and management,"learning/mentors,strategy,lead/manager role",it is great that this supporting sharing community (exists)
0.4,0.4,Associate UX Researcher,researcher,In-house private sector,3,"1,001+",Early,"Mostly logistics and admin - recruiting, ordering incentives, looking after invoices and room bookings, the other 30-50% is doing actual research",Yes,No,No,Yes,Working towards being a mid-level researcher,researcher role development,501,301,205,603,304,311,,3,4,3,4,4,4,3,3,4,1,4,2,1,"The logistics and admin I'm bogged down with on the ops side, and helping the ux designers, means I don't have much time to focus on my own research projects","time,parallel processes & responsibilities",Do more research testing different concepts and having a go at different research methods such as surveys and guerilla testing,"tests/experiments,methods practice/skills",kepp on taking on more of my own research projects,method practice/skills,This has been a fantastic workshop as it has made me take time to think about my career trajectory. Thanks team!
2,3,UX UI Designer,designer,,0,1,None,"I am a U UI Designer convincing hard to have budget for research. I do it with our users when I get approval. Apart from this, my work involves USability Testing, validating the design and handing over to developers",No,No,No,Yes,,,503,501,505,503,306,108,,4,3,5,2,3,3,2,3,3,4,5,2,2,Convincing the value/budget for research,budget,Running stakeholder workshops,"workshops/design sprints,stakeholder & expectation mngt",I will start sharing research results across teams so the team starts valuing it,Evangelize value,
7,3,Research Lead,researcher,In-house private sector,8,"1,001+",Mature,"Discovery, validation, coaching",No,No,Yes,I'm not sure,working on the actual goal itself,misc,301,402,603,301,402,603,secondary research; mixed methods,,,,,,,,,,,,,,Educating stakeholders of what design research is and how to be part of it (eg ethics),"communication/storytelling,trust/buy-in",Embed a proper ethnography process into corporate madness,"qualitative methods,quote",stakeholder upskill,stakeholder & expectation mngt,
1,1,Market Researcher,researcher,In-house private sector,50,"1,001+",Progressing,Conducting and analyzing qualitative research/data. Synthesizing qualitative and quantitative data from survey and interviews. Secondary research and context gathering. Communicating with stakeholders. Report building and presenting findings.,No,Yes,No,Yes,My goal is to develop a consistent analysis profess and also to own my next project end to end so I can organize the communication/clarification of business and research objectives with stakeholders to develop a well tailored research plan.,"communication/storytelling,rigour/standards",501,302,201,301,206,407,,3,2,3,4,3,3,2,2,2,3,3,3,3,The biggest challenge I've faced so far is not being a main stakeholder at the beginning of a project. Being assigned and jumping into work without a clear understanding of objectives.,collaboration,"I get the most excited thinking about running/facilitating stakeholder workshops, assumption slams and synthesis sessions. ","workshops/design sprints,stakeholder & expectation mngt",Incorporate these sessions into a clear workback plan in my next project.,mindfulness/reflection,
4,1,Graduate Resaerch and Training Assistant,other,Public sector,10000,"1,001+",Mature,"Basic academic research, largely for scientific inquiry but has practical implications.",No,No,Yes,Yes,Employment post-graduation,Transition to UX,501,208,601,501,208,601,,4,5,5,4,3,3,4,3,4,3,4,2,1,"Bridging the gap between ""pure""/basic research to applied research.","misc,rigour/standards",Making the transition between academic to industry research. Finding and making use of transferable skills. Seeing what opportunities exist.,new job/role,Applying for research oriented jobs or internships.,new job/role,Thank you!
1,0.5,Junior Service Designer,designer,Public sector,4,"501–1,000",Progressing,Learning product service design,No,No,Yes,Yes,Going back to school,learning/mentors,208,408,201,402,610,601,,3,2,2,4,2,2,2,1,2,2,4,4,3,Working in an agile environment and researching,integration into product dev cycle,Service design and data visualization and strategy,design thinking/service design,Going back to school,learning/mentors,
0.9,1,Student (self-taught designer),designer,Public sector,0,1,Early,I am a half-taught designer learning the foundations of UX. Currently working on personal projects.,On Waitlist,No,No,I'm not sure,,,405,403,107,408,206,109,,4,2,1,4,3,3,2,1,2,3,4,2,2,Figuring out the best research methods for the project given time and budget constraints.,"budget,time,methods practice/skills",Conducting indepth user research for my personal projects and enhance my research skills and knowledge.,"learning/mentors ,methods practice/skills,misc","Work on sample projects to learn more. ""100 days of design challenge""",learning/mentors,How does research fit in the overall role of product design?
2,2,User Experience Researcher,researcher,In-house private sector,4,"1,001+",Early,User research work,No,No,No,No,,,101,102,103,208,110,504,,4,4,3,4,3,3,3,2,2,3,2,2,2,Getting buy-in from all stakeholders,trust/buy-in,Want to try more methodologies,methods practice/skills,Would love to discuss tooling,misc,
11,0.2,Research Associate,researcher,Public sector,2000,"1,001+",Mature,"Key words: Human factors, fire safety, virtual reality",No,Yes,Yes,Yes,Introduce data science into the field of human behavior on fire safety,misc,208,312,304,206,111,110,,2,1,1,1,1,2,2,1,2,3,4,4,1,Seek partnership,collaboration,Collaborate with researchers outside of my organization,"exchange/networking,collaboration","Be more rpoactive in contacting people, participate in networking regularly",exchange/networking,
2,0,Research Assistant,researcher,In-house private sector,0,2–10,I'm not sure,"Data analyst, more specifically data mining.",No,No,No,I'm not sure,,,501,310,610,610,201,601,,4,3,3,3,1,4,3,4,4,3,2,1,3,Developing the solution of the problem (designing phase),misc,I would like to start a career that focuses on research.,focus on research,Get my first job as a researcher.,new job/role,
0.5,0.5,Content Designer,designer,,3,101–500,Early,Researching and understanding our clients so we can design killer content that actually speaks to them and make recommendations for service redesign.,No,No,No,Yes,Getting buy-in for ethnography step in our research approach,Evangelize research,506,101,110,301,610,405,,5,4,4,4,2,2,2,2,3,3,4,3,2,Getting buy-in for research methods that cost money - like ethnography (outside our partners and frontline workers),"budget,trust/buy-in",Recently got approval to develop a research approach to interview customers (not full approval yet),interviewing,Designing the resaerch proposal and recommendations to service delivery clients.,research brief/requirements,
4,4,Student (PhD),other,,1,1,I'm not sure,"Writing paper, thesis proposal",No,No,Yes,Yes,PhD defense (proposal),misc,601,604,608,601,201,310,,2,2,2,,,4,4,4,4,2,3,3,4,Present my results. In several occasions I struggle to provide good feedback. In my present research that's research papers.,communication/storytelling,"Find myself in this industry, still finding where I should be next. ",new job/role,"Defend my  thesis, specifically write another paper and finish my thesis.",misc,This workshop was interesting. I could put myself in uncomfortable situation and I had a positive outcome.
12,0.1,UX Research Manager,researcher,In-house private sector,60,"1,001+",Mature,"Managing a small team of researchers within a large UX research  organization within the company. Setting goals, growing individuals and the team, hiring, strategic UXR projects.",Yes,Yes,No,Yes,Becoming more knowledgeable in UXR strategy and UX leadership,"strategy,lead/manager role,learning/mentors,researcher role development",501,604,601,504,604,407,,4,4,5,3,3,4,5,3,4,4,3,4,4,Running research within fast-paced product teams and making short/mid/long term impact,(product) impact/actionable insight,Growing a research team and helping individuals grow. Focusing more on strategic research.,"building up research/team,training/supporting,strategy",Leadership skill training,"lead/manager role,learning/mentors",
5,2,Researcher/innovation designer,researcher,Public sector,15,11–20,Progressing,"Human-centered design for program, policy and some recommendations. ",No,No,Yes,Yes,Increasing a specific benefit uptake for seniors.,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.5,Director of UX,designer,In-house private sector,3,101–500,Progressing,I'm leading design and research teams (both product and service focused),No,Yes,No,Yes,Creating a process for services-focused research and product.,research as a service,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Innovation Advisor,other,Public sector,13,11–20,Progressing,Qualitative research to support design thinking methodology for projects involving diverse stakeholders. Used in tandem in other human centered approaches and behavioural insights.,No,No,Yes,No,Open to elarning and exploring. Nothing specific. Would like greater opportunities for research via testing...,"learning/mentors,methods practice/skills",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.1,Cognitive Scientist,other,In-house private sector,25,"501–1,000",Mature,Applying data science techniques to UX research. Conducting UX research in a healthcare domain.,No,Yes,Yes,Yes,Applying data science and rigorous science methods to UX,"methods practice/skills,quant skils",504,103,603,409,604,607,"Unsupervised learning methods, Data science, machine learning to develop personas",5,4,3,5,,5,5,5,3,5,5,5,5,Not finding courses that are advanced enough,"learning/mentors,methods practice/skills",UX meets data science,quantitative methods,Take a UX certificate,(UX) course,
10,2,Senior Lecturer in Malaysia (currently looking for a job),other,,30,101–500,Early,Currently I am not working on a project. But the study that I have done during my PhD was about comparison between online and offline inter-ethnic interactions and its impact on social capital.,No,Yes,Yes,No,"I am looking for a job now as I am a newcomer. Moreover, I published an ISI paper almost a month ago. I did my paper while I was trying to settle here.",Transition to UX,301,307,409,408,404,206,,5,4,3,2,5,4,5,4,5,2,1,1,1,"The beginning was my main challenge to know how to start, how to define my research questions.",methods practice/skills,I am really interested to find a research job to employ my skills.,new job/role,,,
5,4,Web Designer,designer,Freelance,5,1,Mature,Developing skills to UX design/research,No,Self-employed,Self-employed,Yes,I have a background in research area and how I am focussing in research/UX/big-data info to dedicate on these areas/themes.,quant skils,201,405,306,306,201,304,"Design Thinking, PMBOK",5,3,5,4,5,4,3,3,4,5,4,3,4,Be updated about methodologies and research software and skills.,"methods practice/skills,learning/mentors",Have a Canadian experience as a UX/UI designer/researcher and apply what I've been learning.,methods practice/skills,Keep going on college and have some volunteer experiences to collect experience in UX research and design.,"learning/mentors,method practice/skills",I chose to charge my professional life and I finding out even more great things during the journey. Research is essential to business.
3,1,Innovation Designer,designer,Public sector,100,"1,001+",Progressing,"We are an interval consultant for Employment and Social Development Canada that specializes in Design Thinking, HCD, and Behavioural Insights. We engage Canada to better understand how people interact with our products and services to provide the user's perspective (qualitative research) to ensure we are tailoring our solutions to the needs of Canadians. ",No,No,No,Yes,Design researcher/innovation designer. Helping partners and clients find impactful solutions from the lived experience of Canadians.,misc,605,407,502,301,109,110,,5,4,4,4,3,4,4,3,3,4,4,3,3,Post-research blues. Coping with surfaced trauma.,misc,Doing more meaningful research that moves beyond people's preferences and into behaviours.,"impact/actionable insight,generative/expl research",Stay curious! Read more about the methods and approaches and make use of them in future projects. Get involved with a research community.,"learning/mentors,quote,exchange/networking","When we gain insight into the people or groups we interview... how might we give back? We can surface negative opinions in our participants, is compensation enough? What more can we do?"
4,1.2,UX Researcher,researcher,In-house private sector,61,"1,001+",Mature,"User research = research merchants/users to understand their needs, pain points, summarize their workflow, and help team prioritize the insights to make decisions for projects. ",Yes,Yes,,Yes,Researcher skills,"methods practice/skills,researcher role development",501,301,102,602,409,405,,4,4,4,4,4,4,5,5,4,3,4,4,4,Not really,,Guide team with the best approach to address their needs,"lead/manager role,training/supporting",Workshop with team to understand their research questions,"workshops/design sprints,research brief/requirements,stakeholder & expectation mngt",
2,1,MBA student,other,,15,,Mature,Market research such as competitive research and customer research.,No,Yes,,,,,502,401,407,609,401,314,,5,4,4,2,3,4,4,3,2,4,4,3,3,Find the right data,misc,Manage a research project,project management/ownership,Learn more analytical skills and methodologies,"analysis,method practice/skills",
5,1,UX Researcher,researcher,,50,"1,001+",Mature,Synthesizing and explaining how complex systems work. Helping product teams prioritize and understand their space.,No,Yes,Yes,Yes,Deciding between focusing on qualitative or quantitative skill development for the next year.,"quant skils,researcher role development",504,110,206,603,504,507,,5,4,5,4,3,3,3,3,4,4,3,2,3,Coordinating project work and generative research.,"parallel processes & responsibilities,focus on research",Quantitative methods? Things I haven't practised much over the last few years. Stats are rusty since we work with data so much.,quantitative methods,Selfishly choose  a project suited to the method.,"method practice/skills,misc",
3,0.1,User Researcher,researcher,Freelance,3,11–20,I'm not sure,Product analysis and user research,Yes,No,No,Yes,Aligninng my skills alongside industry standard. Start up background. Move agency/big company UX side,Transition to UX,109,501,610,506,203,610,,3,2,4,4,1,1,3,2,2,4,3,4,4,Structuring the research into the future in a realistic way,misc,I am excited about developing a research plan/strategy,"project management/ownership,rigour/standards",Think longer term abiout the research to carry out and how research fits with product cycle,"incorporate product/biz thinking,time","I work inhouse and have experience alot of freedom, as to the research I carry out and when. I had the chance to reflect on how that is/was"
4,2,Senior UX Consultant,designer,Agency,20,21–50,Progressing,"Mix of evaluative and qualitative research, mainly validating concepts and prototypes",On Waitlist,No,Yes,No,,,501,302,610,504,408,111,,4,3,4,4,3,3,4,4,4,3,3,2,2,Working in an agency I don't always get the chacne to do the type of research that would be most benefical/answer the things I want to answer,time,Look at how I can shake up research methods and how I can help longer term when I only have 3 month projects,"methods practice/skills,Research role development",,,
12,1.5,Lead User Researcher,researcher,Public sector,20,"1,001+",I'm not sure,"Qual user researech and choaching UR and support senior managers in transforming org along user centred lines (meetings, meetings, meetings....)",Yes,No,No,No,,,305,506,501,102,,,,4,3,3,4,3,3,4,2,3,3,3,4,3,Time vs pressure to deliver,time,Service design,design thinking/service design,Think about what the market needs for the next 10 years e.g what skills might AI replace? Is interface usability a solved problem?,"misc,Generative/expl research",
0.5,0.5,UX Designer,designer,In-house private sector,11,"1,001+",I'm not sure,"UX design, user research and testing storynboarding, wireframing",No,,,Yes,Building up experience of any research I can get my hands on!,"learning/mentors,methods practice/skills",102,601,108,104,502,301,,1,2,2,3,1,1,1,1,1,3,2,2,1,Getting anyone to do it all - and early on in the project,misc,Generative research,generative/expl research,Involvement in research planning,"research brief/requirements,project management/ownership",
2.5,0.5,Senior UX researcher,researcher,Public sector,1,101–500,Progressing,"user testing, IA, developing user research in org",No,No,No,Yes,Developing a range of research skills (not just the ones I do all the time) and also packaging my services,"learning/mentors,methods practice/skills,researcher role development",113,601,302,301,204,306,,4,4,4,4,3,2,3,2,3,3,4,2,1,Time - everyone wants me to work on their project but there is only one me!,"time,research team of one",More techniques for researching our users,methods practice/skills,Keep connecting with other researchers to find out what they do,exchange/networking,Imposter syndrome - help!
10,4,Lead User Researcher,researcher,Freelance,5,"1,001+",Early,Officially - validation. Unofficially - generative research,Yes,Self-employed,No,No,,,101,102,202,407,609,610,,4,3,1,5,4,3,5,3,4,4,3,3,4,Having genuine impact on product & proposition design,(product) impact/actionable insight,Service design,design thinking/service design,Get a service design contract,"service design,new job/role",Worksheet 3 is very hard to map development onto
6,0.5,Contract user researcher,researcher,Freelance,1,1,Progressing,Re doing poorly done research! Discovery stage @ beta point,Yes,Self-employed,Self-employed,Yes,Saving to do a masters in experimental psychology,misc,301,302,303,111,407,406,"Negotiation skills, stakeholder management",1,4,3,2,4,3,4,4,4,3,2,3,3,Convincing clients of research need,"external,communication/storytelling",doing my masters in experimental psychology,misc,save money for msc and keep learning,learning/mentors,
3,0.5,User experience researcher,researcher,In-house private sector,2,101–500,I'm not sure,Testing concepts and creating early prototypes in iterative process,No,,,I'm not sure,,,603,604,605,506,201,310,,3,2,2,4,3,3,4,3,3,3,1,3,2,Getting buy in from the right people to understand why what we do it important,trust/buy-in,To run more projects independently and determine more efficient process,"project management/ownership,rigour/standards",work with a mentor to help make some plans and determine a way forward,"learning/mentors,mindfulness/reflection",
21,0.5,UX Research Manager,researcher,In-house private sector,10,"1,001+",Progressing,"UXR management - setting up new UXR function, building up team, implementing process, demonstrating value of UXR, training (UXRs, UXD, content, UI and non UX eg BAs, POs, dev)",Yes,Yes,No,Yes,"Building on management/leadership experience, developing a new UXR function, more strategic view of UX","strategy,lead/manager role",610,604,204,609,610,603,UX process development and formalisation,4,4,4,4,4,4,4,4,5,5,3,3,3,"Demonstrating value, formalising process at scale, sharing of insight across teams/biz","communication/storytelling,collaboration,trust/buy-in","Scaling up a new team, defining UXR processes, making a positive impact/change through the new team","building up research/team,rigour/standards,impact/actionable insight,Ops/scaling",Think more about where my role develops form here,"new job/role,mindfulness/reflection",
2,2,UX Consultant,designer,Agency,10,21–50,I'm not sure,User research,No,No,No,No,,,305,102,601,609,610,402,,3,2,3,3,4,2,4,2,3,2,3,3,4,"Not always being able to work with the right people (deisgn,dev)",collaboration,More design,UX design,"Read about design, see if I can shadow some design/do some design","design,learning/mentors",
11,2,Senior UX Consultant,designer,Agency,15,51–100,Mature,"All research activites, discovery to testing, analysis, research strategy and stakeholder buy in",Yes,Yes,Yes,Yes,Principal and lead researcher,lead/manager role,301,401,604,111,606,602,,5,5,4,5,4,3,5,4,4,3,3,3,,Beign empowered to gain full cross-project buy in from all (non reserach) colleagues,"collaboration,trust/buy-in","Building teams, mixing qual and quant, evidencing value","mixed methods,building up research/team",Take ownership of research proposition of my work,project management/ownership,
2,2,Insight and Innovation consultant,designer,Agency,4,51–100,Progressing,Bathering insight > identifying opportunities,No,No,No,No,,,110,601,610,604,305,301,,4,4,4,3,4,4,4,3,4,4,4,2,2,,,"breadth of techniques, methodologies, approaches",methods practice/skills,"external training, external networking","exchange/networking,learning/mentors",
4.5,4.5,User researcher,researcher,Public sector,20,"1,001+",I'm not sure,User research in transformation projects together with small amount working with current systems,Yes,No,No,,,,604,501,203,111,609,503,,3,5,4,4,4,4,3,4,4,4,3,4,3,Convincing the teams I work with the value of UR insights and working with UR and UCD,"collaboration,trust/buy-in",Verification/counter fraud,misc,,,
5,1,UX Research / UXR Ops,researcher,In-house private sector,1,"501–1,000",I'm not sure,"User interviews, UXR Ops, reporting recreating structure",No,Yes,No,Yes,Growing my skill set in software,"learning/mentors,methods practice/skills",101,105,102,301,302,307,,3,3,3,3,3,3,3,3,3,3,3,3,3,Lack of operations power and lack of communication (esp. around expectations),communication/storytelling,Develop and solid UX strategy,strategy,"Keep asking my team questions; ""Why are we doing this? What's the objective?"" etc","research brief/requirements,stakeholder & expectation mngt","The career progression work is extremely helpful, thank you!"
0.5,0.5,UX Designer,designer,Public sector,1,"501–1,000",Early,User experience on enterprise software; currently also working on the design system (in-house facing).,No,Yes,No,Yes,incorporating more research into the UX work that I do.,scaling/expanding the scope,304,103,408,301,501,610,,3,1,1,3,2,3,1,1,1,1,3,1,4,Building my toolkit (in an intentional way) and knowing when to utilize certain methodologies.,methods practice/skills,How to UX design while incorporating meaningful research. I'm excited to work with seasoned researchers on my team and learn by hands-on experience and proxy.,"UX design,collaboration,learning/mentors ",Incorporate relevant research into my current project; asking for feedback and thoughts on this work. Attend more research workshops  and meetups.,"mindfulness/reflection,exchange/networking",Thanks for this workshop! Looking forward to attending more and being more active in the research community.
6,2.5,Head of Research,researcher,In-house private sector,175,21–50,Early,"Multi-faceted. Combination of generative research, interviews, (other qual research & collab w/academic researchers) usability and design research, market research, also product strategy. ",No,No,Yes,Yes,Expanding role to include oversight of quant research,"scaling/expanding the scope,quant skils",301,501,610,603,408,501,,5,4,4,4,3,3,3,3,3,4,4,2,4,Veracity at speed,"time,rigour/standards",combining quant more,quantitative methods,spending time with analytics team,"ROI,quantitative methods",The question of how to find mentorship when at a senior level
10,0.5,Product Manager,other,In-house private sector,6,"1,001+",Mature,"Marketing research, competitor research, concept testing, land page testing",No,Yes,Yes,Yes,Digital advertising research mastery for most effective ads for a new product,misc,610,104,603,508,403,610,,5,5,4,4,4,4,3,3,3,4,3,3,3,"Getting the research insights into the design - developed, due to resource constraints with software developers needing more funding for research, in person","(product) impact/actionable insight,integration into product dev cycle,research team of one",The above plus using new tools and technologies for research,"impact/actionable insight,integration into product dev cycle,methods practice/skills",I need to work more on planning out the research,research brief/requirements,This was helpful to talk with other researchers
2,2,UX Researcher,researcher,In-house private sector,2,"1,001+",Progressing,Mostly design and usability research for Apps and Website.,No,Yes,No,Yes,"Research manager, managing my own digital product",lead/manager role,301,302,603,610,407,403,,1,2,5,2,1,2,2,3,1,1,4,2,1,"Working in a large company, it's a challenge to have the time to experiment with different methods and spend time (we work on a 3 week schedule).",time,Other mixed methods strategies,mixed methods,Take on a project that requires both qual and quant research,mixed methods,
10,8,User Experience Researcher & Architect,researcher,Freelance,1,1,Progressing,"I contract to mostly agencies or enterprise companies to create, execute, and implement results from research studies.",No,Self-employed,Self-employed,Yes,I am working on public speaking and presentation skills.,"learning/mentors,methods practice/skills",501,601,404,501,506,507,,5,3,4,5,4,3,5,4,4,4,3,3,5,"As a freelancer, quickly gasping internal situation and politics to best execute successfully.","collaboration,time",Public speaking and hosting workshops,"communication/storytelling,misc,workshops/design sprints",look at turning a recent project into a talk,communication/storytelling,"I'd love more explanation on mentorships - how to find one, etc"
7,3,Lead UX Researcher,researcher,In-house private sector,2,51–100,Progressing,"Leadership, usability, strategy, design evaluation, discovery",No,No,No,Yes,"ethnography, field researcher",generative/expl research,103,610,602,110,204,404,,3,4,5,5,3,3,4,2,4,3,4,2,3,Focusing insights to drive business results,"(product) impact/actionable insight,incorporate product/biz thinking",In-person field research,qualitative methods,Join a larger research practice with better resources - operation,"ResearchOps,misc",
2,2,UX Researcher,researcher,In-house private sector,2,51–100,Progressing,"Managing product feedback from customers, stakeholders; planning and facilitating research activities - customer interviews and usability studies",No,No,No,No,,,201,,106,602,504,501,,4,3,3,5,4,3,2,2,3,3,3,2,2,lack of confidence in my abilities,creative confidence,,,take ownership of a project,project management/ownership,
20,1,"Director, UX Research",researcher,In-house private sector,10,"1,001+",Early,Maintaining a team of researchers and designers,No,Yes,No,No,,,604,610,505,507,610,501,,4,5,4,3,3,3,4,4,4,4,3,3,3,Demonstrating the value of my team's work to the rest of the company.,internal,Collaborating with the 9 GM's who manage the product managers,"collaboration,stakeholder & expectation mngt",Schedule a meeting with each GM.,"stakeholder & expectation mngt,exchange/networking",
25,0.5,Principal User Researcher,researcher,,9,"1,001+",Early,"Evaluative research, primarily interviews, surveys and analytics",No,Yes,Yes,No,,,604,501,507,407,305,602,,4,3,3,3,3,4,3,3,4,4,3,2,4,Keeping up to date with ops tools and processes,learning/mentors,"Coaching researchers, evangelizing research","evangelize research,training/supporting",Talk to my manager,exchange/networking,
13,2,Senior UX Researcher,researcher,In-house private sector,2,"1,001+",Laggard,User requirements writing,No,No,No,Yes,New job as a researcher because current organization has stopped doing research,employment relationship,501,201,604,301,507,603,,2,1,1,4,1,3,4,3,4,3,3,3,3,Currently no buy-in for doing research in my organization,trust/buy-in,find a new job,new job/role,network and apply for new jobs,"exchange/networking,new job/role",
